姓
一ノ瀬
一戸
一瀬
一色
三上
三井
三原
三好
三宅
三島
三嶋
三木
三村
三枝
三森
三橋
三沢
三浦
三澤
三瓶
三田
三田村
三角
三谷
三輪
三野
上原
上地
上坂
上山
上岡
上島
上川
上杉
上村
上条
上林
上田
上西
上野
下地
下山
下川
下平
下村
下田
下野
与那嶺
並木
中
中上
中井
中元
中原
中園
中垣
中塚
中尾
中居
中屋
中山
中岡
中島
中崎
中嶋
中川
中平
中本
中村
中条
中林
中根
中條
中森
中橋
中江
中沢
中津
中澤
中瀬
中田
中畑
中西
中谷
中辻
中込
中道
中里
中野
丸尾
丸山
丸岡
丸田
丸谷
丹下
丹治
丹羽
丹野
久保
久保田
久我
久松
久田
久米
久野
乾
亀井
亀山
亀岡
亀田
亀谷
二宮
二木
二村
二瓶
二見
二階堂
五十嵐
五味
五島
井上
井内
井出
井原
井口
井坂
井川
井戸
井手
井本
井村
井沢
井田
井藤
井野
井関
仁平
仁木
仁科
今
今井
今岡
今川
今村
今枝
今泉
今津
今田
今西
今野
今関
仙波
仲
仲井
仲宗根
仲川
仲本
仲村
仲田
仲谷
仲里
仲野
仲間
伊丹
伊佐
伊勢
伊原
伊東
伊沢
伊波
伊藤
伊賀
伊達
伏見
会田
伴
佃
住吉
住田
佐々
佐々木
佐久間
佐伯
佐原
佐古
佐山
佐川
佐瀬
佐田
佐竹
佐藤
佐野
作田
依田
保坂
保田
保科
信田
倉島
倉持
倉本
倉橋
倉田
元木
児島
児玉
入江
八代
八島
八巻
八幡
八木
八田
八重樫
兵藤
兵頭
具志堅
兼子
兼田
内堀
内山
内川
内村
内海
内田
内藤
内野
冨山
冨岡
冨永
冨田
出口
別府
別所
前
前原
前山
前島
前川
前沢
前田
前野
副島
加地
加来
加瀬
加納
加茂
加藤
加賀
加賀谷
助川
勝俣
勝又
勝山
勝田
勝部
勝野
北
北井
北原
北口
北尾
北山
北岡
北島
北川
北本
北村
北条
北林
北條
北沢
北浦
北澤
北田
北野
千原
千田
千葉
千野
半沢
半田
南
南部
南野
南雲
原
原口
原島
原田
原野
又吉
及川
友田
古家
古屋
古山
古川
古市
古木
古本
古橋
古沢
古澤
古瀬
古田
古谷
古賀
古野
合田
吉井
吉住
吉元
吉原
吉富
吉山
吉岡
吉崎
吉川
吉成
吉本
吉村
吉松
吉武
吉永
吉沢
吉澤
吉田
吉良
吉見
吉野
名倉
名取
向
向井
向山
向後
向田
君島
和気
和泉
和田
品川
品田
唐沢
喜多
喜田
四方
国井
国分
国吉
国本
園田
園部
土井
土居
土屋
土岐
土方
土橋
土田
土肥
土谷
坂
坂上
坂下
坂井
坂倉
坂元
坂内
坂口
坂巻
坂本
坂東
坂根
坂田
坂部
坂野
坪井
坪内
坪田
垣内
城
城戸
城田
城間
堀
堀之内
堀井
堀内
堀口
堀尾
堀川
堀本
堀江
堀田
堀越
堀部
堤
堺
塙
塚原
塚本
塚田
塚越
塩原
塩崎
塩川
塩沢
塩田
塩見
塩谷
塩野
境
増井
増子
増山
増本
増田
夏目
外山
多田
多賀
大上
大下
大串
大久保
大井
大倉
大内
大出
大前
大原
大友
大和
大和田
大坂
大坪
大垣
大城
大堀
大場
大塚
大宮
大家
大屋
大山
大岡
大岩
大島
大崎
大嶋
大川
大平
大庭
大月
大木
大本
大杉
大村
大東
大林
大森
大槻
大橋
大江
大池
大沢
大河内
大河原
大沼
大泉
大津
大浜
大浦
大滝
大澤
大熊
大田
大町
大畑
大畠
大矢
大石
大窪
大竹
大脇
大藤
大西
大谷
大貫
大賀
大越
大迫
大道
大里
大野
大門
大関
大隅
大須賀
大高
大黒
天野
太田
奈良
奥
奥井
奥原
奥山
奥平
奥本
奥村
奥田
奥谷
奥野
妹尾
姫野
宇井
宇佐美
宇佐見
宇津木
宇田
宇田川
宇都宮
宇野
守屋
守田
守谷
安井
安保
安倍
安原
安岡
安川
安斎
安本
安村
安東
安武
安永
安江
安田
安藤
安西
安達
安部
安里
安野
宍戸
宗像
室井
室田
宮
宮下
宮井
宮内
宮前
宮原
宮口
宮地
宮坂
宮城
宮尾
宮岡
宮島
宮崎
宮嶋
宮川
宮木
宮本
宮村
宮武
宮永
宮沢
宮澤
宮田
宮脇
宮部
宮里
宮野
富山
富岡
富樫
富永
富沢
富田
寺井
寺内
寺尾
寺山
寺岡
寺島
寺崎
寺嶋
寺川
寺本
寺村
寺沢
寺田
寺西
寺門
対馬
小久保
小俣
小倉
小出
小原
小口
小坂
小堀
小塚
小室
小宮
小宮山
小寺
小山
小山内
小山田
小峰
小島
小崎
小嶋
小川
小幡
小平
小早川
小暮
小木曽
小杉
小村
小松
小松原
小松崎
小林
小柳
小柴
小栗
小森
小椋
小橋
小池
小沢
小河
小沼
小泉
小浜
小滝
小澤
小熊
小牧
小玉
小田
小田切
小田原
小田島
小畑
小竹
小笠原
小菅
小西
小谷
小谷野
小貫
小野
小野塚
小野寺
小野沢
小野田
小関
小高
小黒
尾上
尾崎
尾形
尾田
尾関
山上
山下
山中
山之内
山元
山内
山口
山名
山地
山城
山室
山岡
山岸
山崎
山川
山形
山木
山本
山村
山根
山森
山浦
山添
山田
山脇
山西
山谷
山越
山路
山辺
山野
山際
岡
岡元
岡安
岡山
岡島
岡崎
岡本
岡村
岡林
岡田
岡部
岡野
岩上
岩下
岩井
岩佐
岩倉
岩元
岩切
岩城
岩尾
岩崎
岩川
岩本
岩村
岩橋
岩永
岩沢
岩淵
岩渕
岩瀬
岩田
岩見
岩谷
岩野
岩間
岸
岸川
岸本
岸田
岸野
峯
峯岸
峰
峰岸
島
島崎
島本
島村
島津
島田
島袋
島野
崎山
嵯峨
嶋
嶋崎
嶋村
嶋田
川上
川久保
川井
川俣
川内
川北
川原
川又
川口
川合
川名
川尻
川岸
川島
川崎
川嶋
川本
川村
川添
川瀬
川田
川畑
川端
川西
川越
川辺
川野
工藤
巽
市原
市川
市村
市橋
市田
市野
布川
布施
常盤
平
平井
平出
平原
平塚
平尾
平山
平岡
平岩
平島
平川
平木
平本
平松
平林
平沢
平沼
平澤
平田
平石
平良
平賀
平野
平間
幸田
広井
広岡
広川
広沢
広瀬
広田
広野
庄司
庄子
廣瀬
廣田
引地
彦坂
影山
後藤
徳丸
徳山
徳永
徳田
志村
志水
志田
志賀
恩田
成沢
成瀬
成田
我妻
戸塚
戸川
戸村
戸田
戸谷
所
手塚
手島
手嶋
折原
折田
押田
持田
斉藤
斎木
斎藤
新
新井
新保
新倉
新垣
新城
新堀
新妻
新家
新居
新山
新川
新村
新海
新田
新美
新藤
新谷
新里
新野
新開
日下
日下部
日吉
日向
日比
日比野
日置
日野
日高
早坂
早川
早瀬
早田
早野
明石
星
星川
星野
春名
春山
春日
春木
春田
時田
景山
曽我
曽我部
曽根
曾根
有吉
有川
有本
有村
有田
有賀
有馬
服部
望月
朝倉
朝日
朝比奈
木下
木元
木内
木原
木口
木場
木山
木島
木崎
木幡
木戸
木暮
木本
木村
木田
木谷
木野
末吉
末広
末松
末次
末永
本多
本山
本庄
本木
本村
本橋
本田
本郷
本間
杉
杉原
杉山
杉岡
杉崎
杉本
杉村
杉森
杉江
杉浦
杉田
杉谷
杉野
李
村上
村中
村井
村尾
村山
村岡
村川
村木
村本
村松
村瀬
村田
村越
村野
東
東山
東条
東海林
東田
東谷
東郷
東野
松下
松丸
松井
松倉
松元
松原
松坂
松宮
松尾
松山
松岡
松島
松崎
松川
松平
松木
松本
松村
松林
松橋
松永
松沢
松浦
松澤
松田
松葉
松藤
松谷
松野
板倉
板垣
板東
板橋
板谷
林
林田
柏
柏原
柏崎
柏木
染谷
柘植
柚木
柳
柳下
柳井
柳原
柳川
柳本
柳沢
柳沼
柳澤
柳瀬
柳生
柳田
柳谷
柴
柴原
柴山
柴崎
柴田
柿原
柿崎
柿本
柿沼
栗原
栗山
栗本
栗林
栗栖
栗田
根岸
根本
根津
桂
桐原
桐山
桐生
桑原
桑名
桑山
桑田
桑野
桜井
桜庭
桜木
桜田
桝田
梅原
梅崎
梅木
梅本
梅村
梅沢
梅津
梅澤
梅田
梅野
梶
梶原
梶山
梶川
梶本
梶田
梶谷
棚橋
森
森下
森井
森元
森内
森口
森山
森岡
森島
森崎
森川
森本
森永
森田
森脇
森谷
森野
植木
植村
植松
植田
植竹
植野
椎名
椎葉
椿
楠
楠本
楠田
榊
榊原
榎
榎本
樋口
樋渡
権田
権藤
横井
横内
横尾
横山
横川
横沢
横溝
横田
橋口
橋場
橋本
橋爪
橋田
橋詰
橘
檜山
櫛田
櫻井
正木
正田
武井
武内
武山
武市
武本
武村
武田
武石
武藤
比嘉
比留間
毛利
氏家
水上
水口
水島
水戸
水本
水村
水沢
水田
水落
水谷
水越
水野
永井
永原
永吉
永尾
永山
永岡
永島
永松
永瀬
永田
永谷
永野
江上
江原
江口
江尻
江島
江崎
江川
江本
江村
江田
江藤
江頭
池上
池内
池原
池本
池永
池田
池谷
池野
沖
沖本
沖田
沖野
沢
沢井
沢口
沢村
沢田
沢野
河上
河井
河内
河原
河口
河合
河島
河崎
河本
河村
河津
河田
河端
河西
河辺
河野
沼田
泉
泉田
泉谷
波多野
津久井
津島
津川
津村
津田
津野
浅井
浅利
浅岡
浅川
浅沼
浅田
浅見
浅野
浜
浜中
浜口
浜島
浜崎
浜本
浜村
浜田
浜野
浦
浦上
浦山
浦川
浦田
浦野
海老原
海老沢
海野
涌井
深井
深山
深川
深沢
深津
深澤
深瀬
深田
深町
深見
深谷
深野
添田
清原
清宮
清家
清川
清水
清田
清野
渋谷
渕上
渡辺
渡邉
渡邊
渡部
渥美
湊
湯川
湯本
湯沢
湯浅
湯田
溝上
溝口
滝
滝口
滝川
滝本
滝沢
滝田
漆原
澤
澤井
澤田
濱田
瀬尾
瀬川
瀬戸
瀬戸口
照井
照屋
熊倉
熊崎
熊木
熊本
熊沢
熊田
熊谷
熊野
片倉
片山
片岡
片平
片桐
片野
牛尾
牛山
牛島
牛田
牟田
牧
牧田
牧野
犬塚
犬飼
狩野
猪俣
猪瀬
猪狩
猪股
猪野
猿渡
玉井
玉城
玉川
玉木
玉田
玉置
瓜生
生田
生駒
田上
田中
田丸
田井
田代
田仲
田原
田口
田坂
田宮
田尻
田山
田島
田崎
田嶋
田川
田所
田村
田沢
田沼
田淵
田渕
田畑
田端
田辺
田部
田部井
田野
田頭
甲斐
甲田
町田
畑
畑中
畑山
畠中
畠山
疋田
白井
白土
白岩
白崎
白川
白木
白水
白浜
白田
白石
白鳥
百瀬
的場
皆川
益子
益田
目黒
直井
相原
相川
相沢
相澤
相田
相良
相馬
真下
真壁
真島
真木
真田
真野
真鍋
矢作
矢内
矢口
矢吹
矢島
矢崎
矢沢
矢田
矢部
矢野
知念
石上
石丸
石井
石倉
石原
石坂
石垣
石塚
石山
石岡
石島
石崎
石川
石本
石村
石森
石橋
石毛
石沢
石津
石渡
石田
石神
石谷
石野
石黒
砂川
砂田
碓井
磯
磯崎
磯村
磯田
磯貝
磯部
磯野
神
神保
神原
神尾
神山
神崎
神戸
神林
神田
神谷
神野
福井
福元
福原
福地
福士
福山
福岡
福島
福崎
福嶋
福本
福村
福永
福沢
福田
福留
秋元
秋吉
秋山
秋本
秋田
秋葉
秦
稲垣
稲川
稲村
稲田
稲葉
稲見
穂積
窪田
立山
立川
立石
立花
立野
竹下
竹中
竹之内
竹井
竹内
竹原
竹山
竹島
竹川
竹本
竹村
竹林
竹森
竹沢
竹田
竹谷
竹野
笠井
笠原
笠松
笹井
笹原
笹山
笹岡
笹川
笹木
笹本
笹田
筒井
箕輪
篠原
篠塚
篠崎
篠田
米倉
米山
米川
米本
米村
米沢
米澤
米田
米谷
粕谷
粟野
糸井
細井
細川
細田
細見
細谷
細野
紺野
結城
綾部
綿引
綿貫
緑川
緒方
織田
羽生
羽田
羽田野
羽賀
羽鳥
肥後
肥田
能勢
能登
脇
脇坂
脇本
脇田
臼井
臼田
舘
舟橋
船山
船木
船橋
船津
船田
船越
芝
芝田
芦沢
芦田
花井
花岡
花房
花田
芳賀
芹沢
若井
若山
若月
若杉
若松
若林
若狭
茂木
茅野
茨木
草野
草間
荒
荒井
荒川
荒巻
荒木
荒牧
荒田
荒谷
荻原
荻野
菅
菅井
菅原
菅沼
菅田
菅谷
菅野
菊地
菊川
菊池
菊田
菱沼
菱田
萩原
萩野
落合
葛西
蓮見
薄井
藤
藤井
藤代
藤倉
藤原
藤城
藤尾
藤山
藤岡
藤島
藤崎
藤川
藤巻
藤平
藤木
藤本
藤村
藤枝
藤森
藤永
藤江
藤沢
藤澤
藤田
藤谷
藤野
藤間
蛭田
蜂谷
衛藤
袴田
西
西井
西内
西出
西原
西口
西垣
西尾
西山
西岡
西島
西崎
西嶋
西川
西本
西村
西森
西沢
西浦
西澤
西田
西脇
西谷
西野
見
角
角田
角谷
角野
設楽
諏訪
諸岡
諸星
諸橋
谷
谷中
谷内
谷口
谷山
谷岡
谷崎
谷川
谷本
谷村
谷沢
谷津
谷田
谷野
豊岡
豊島
豊田
赤井
赤坂
赤堀
赤塚
赤尾
赤嶺
赤川
赤星
赤木
赤松
赤池
赤沢
赤石
赤羽
赤間
越川
越智
足立
辰巳
辻
辻井
辻本
辻村
辻田
辻野
近江
近藤
迫
迫田
速水
進藤
逸見
遊佐
道下
遠山
遠藤
那須
郡司
都築
酒井
里見
重松
重田
野々村
野上
野中
野原
野口
野呂
野地
野坂
野尻
野島
野崎
野本
野村
野沢
野澤
野瀬
野田
野間
金
金丸
金井
金光
金原
金城
金子
金山
金崎
金川
金本
金森
金沢
金澤
金田
金谷
金野
鈴木
鈴村
錦織
鍋島
鎌倉
鎌田
長
長井
長内
長友
長坂
長尾
長屋
長山
長岡
長島
長崎
長嶋
長嶺
長江
長沢
長沼
長浜
長澤
長瀬
長田
長谷
長谷川
長谷部
長野
門田
門脇
門間
門馬
間宮
間瀬
関
関口
関川
関戸
関本
関根
関谷
関野
阪上
阪口
阪本
阪田
阿久津
阿南
阿部
陶山
隅田
難波
雨宮
露木
青井
青山
青島
青木
青柳
青田
青野
須山
須崎
須永
須田
須藤
須貝
須賀
風間
飛田
飯塚
飯尾
飯山
飯島
飯村
飯沼
飯田
飯野
首藤
香取
香川
香月
馬場
馬渕
駒井
駒田
高
高久
高井
高倉
高原
高坂
高垣
高城
高塚
高安
高宮
高尾
高山
高岡
高島
高崎
高嶋
高木
高本
高杉
高村
高松
高林
高柳
高桑
高梨
高森
高橋
高沢
高津
高浜
高瀬
高田
高畑
高畠
高石
高良
高見
高谷
高野
高須
鬼塚
鬼頭
魚住
鮫島
鳥井
鳥居
鳥山
鳥海
鳥羽
鳥越
鳴海
鵜沢
鵜飼
鶴岡
鶴田
鶴見
鷲尾
鷲見
鹿島
鹿野
麻生
黒岩
黒崎
黒川
黒木
黒沢
黒澤
黒瀬
黒田
黒須
齊藤
齋藤
